pdf_page,folio,face,colonne,chemin,width,height,source_width,source_height,crop_x,crop_y,crop_width,crop_height,sha256
27,021,v,a,images_columns/f021v_a.png,478,1024,1449,1024,0,0,478,1024,626e3e5fbb0d8025f763f40bebc1d0f1c485b1eca8b48b5034849ccb0ca3bb87
27,021,v,b,images_columns/f021v_b.png,296,1024,1449,1024,438,0,296,1024,6d3db1e11dcff3b60d18a011b06f814e965d923bf585c8480c863f1a370f5525
27,022,r,a,images_columns/f022r_a.png,320,1024,1449,1024,714,0,320,1024,0ded948e03605173b7fc2c80010d4da18aa3e58696b6f372f7434c16dbf4525c
27,022,r,b,images_columns/f022r_b.png,455,1024,1449,1024,994,0,455,1024,2efbdb04239d7c676a37dee38cce7b20bf287ad1a2e14c56604289136fefd1d5
28,022,v,a,images_columns/f022v_a.png,477,1024,1466,1024,0,0,477,1024,d73f08ec322f595926d6b01fdc1ed4b65d660029e803d290364429b3840fef84
28,022,v,b,images_columns/f022v_b.png,306,1024,1466,1024,437,0,306,1024,decf43b4a8f2fa008338f623a91512c3ba9c8d2f3e5ecec13495ea12d8e19238
28,023,r,a,images_columns/f023r_a.png,322,1024,1466,1024,723,0,322,1024,c598e493e6c8cd954f20e5fd5ca1259c7cbd493dff28099f3727ac73fa725dd8
28,023,r,b,images_columns/f023r_b.png,461,1024,1466,1024,1005,0,461,1024,de67961d7d0b84fd2b494afa792be785ff145b14c6279ad01d66f7884413c44c
29,023,v,a,images_columns/f023v_a.png,484,1024,1457,1024,0,0,484,1024,cd6ba4ce011b810d29410c0384d8bb43c20021d06660ee26c5509ef7d6ead6de
29,023,v,b,images_columns/f023v_b.png,294,1024,1457,1024,444,0,294,1024,31028297e1749947d7fd21707f04e40565c184c2319729a512205bb894544316
29,024,r,a,images_columns/f024r_a.png,316,1024,1457,1024,718,0,316,1024,d8c0668847de057d925f0aaade94e52be7d44cad1f902f643b941edb1a38cffe
29,024,r,b,images_columns/f024r_b.png,463,1024,1457,1024,994,0,463,1024,5b6c5a9f2f4982c6cdb1af1f76c0b17f47682c0bb5f71fbd28ce45b61d962762
30,024,v,a,images_columns/f024v_a.png,485,1024,1455,1024,0,0,485,1024,842462919c25da43d684635ca733bed9f25235fad1006fd21c1edc43c8302b5f
30,024,v,b,images_columns/f024v_b.png,292,1024,1455,1024,445,0,292,1024,acfdb31ea855fe82cc495e35ab56dba9b65a32c451453615ea8894ac0f1296b6
30,025,r,a,images_columns/f025r_a.png,335,1024,1455,1024,717,0,335,1024,dab0550bf78fee4674b38625a511c5a5038489889e6461544e4369e162472a40
30,025,r,b,images_columns/f025r_b.png,443,1024,1455,1024,1012,0,443,1024,a2710d2bcd48e006200f4911ad28f11f3b388485134bdadeb4ce853923ffe57d
31,025,v,a,images_columns/f025v_a.png,477,1024,1461,1024,0,0,477,1024,12544a5e57f6ff28c771bd1cd1aaf8885a29f2eefa4f1fd0d8138e8e723d2589
31,025,v,b,images_columns/f025v_b.png,303,1024,1461,1024,437,0,303,1024,fa9d0ddfda0015a68bdf66c27efadc21faea83df21364f51cc419d3235a74a71
31,026,r,a,images_columns/f026r_a.png,330,1024,1461,1024,720,0,330,1024,e00c9dc78577065f76053feb8c6b406b6c10243d434d341d04474470a1cdf1ca
31,026,r,b,images_columns/f026r_b.png,451,1024,1461,1024,1010,0,451,1024,c461a528f5b71edbf833c99de23931e75ef5640474fe36c0611414fce441143d
32,026,v,a,images_columns/f026v_a.png,476,1024,1459,1024,0,0,476,1024,3e42c16f91fb1bfbbca3f58630379a358beb903a57e782d7b0091f11679fc73e
32,026,v,b,images_columns/f026v_b.png,303,1024,1459,1024,436,0,303,1024,3de63cb4db26e16304b849ff173628f31c2390fd1c8a8402c5a42772c70776f4
32,027,r,a,images_columns/f027r_a.png,340,1024,1459,1024,719,0,340,1024,ae9f8d1e01b2c85157da5ec341d3b0b08158c743ffe0bcaf3f1398e6a63bf3e3
32,027,r,b,images_columns/f027r_b.png,440,1024,1459,1024,1019,0,440,1024,c222ffb0c1eb14536af6e12b9d5a03a2cb11aa00da7f737e07652e63f6b47289
33,027,v,a,images_columns/f027v_a.png,482,1024,1461,1024,0,0,482,1024,ebc3486f34a58fb3ff7eaec5ce3d730b3bad3778eeb145c78793138be648f746
33,027,v,b,images_columns/f027v_b.png,298,1024,1461,1024,442,0,298,1024,c81d0c71d632a402d86a50b970c71023a8a7005280f21bb1149e507ff9a0d495
33,028,r,a,images_columns/f028r_a.png,339,1024,1461,1024,720,0,339,1024,b90830e428c6d5dcf8863d044adbd8aa3fc82f4bc52d77855a080878d6cf5b90
33,028,r,b,images_columns/f028r_b.png,442,1024,1461,1024,1019,0,442,1024,e6c24b7d08314dae45b5d502eefe173809645ceb2571e5dc85c94526a95658d9
34,028,v,a,images_columns/f028v_a.png,484,1024,1465,1024,0,0,484,1024,277b35c90ea9087f5b687fc4b69cc7e43a4e52cbcf284c0e2ac3448f80192465
34,028,v,b,images_columns/f028v_b.png,298,1024,1465,1024,444,0,298,1024,a19f5dd3010a38e6c04ceb57f40887c5d166d9ebfe058d0f7573fac5a7be727a
34,029,r,a,images_columns/f029r_a.png,328,1024,1465,1024,722,0,328,1024,f218c69065652250ccd80c6d5c70bda52c02ec3fe41b95ad4084289bcdc59dae
34,029,r,b,images_columns/f029r_b.png,455,1024,1465,1024,1010,0,455,1024,bed0a0df44097b9434685df5e2fc43283aee160f98aab8ca9c79691fbe30285a
35,029,v,a,images_columns/f029v_a.png,493,1024,1451,1024,0,0,493,1024,8e19dab5369e7a411a701410c69986b94e98c93fca29a5e14e039afe6a61f309
35,029,v,b,images_columns/f029v_b.png,282,1024,1451,1024,453,0,282,1024,ea46a0c0b3ca28f467a47013e4e037ec5b7cbcdc0becf8f6fdfbcddad079fcf7
35,030,r,a,images_columns/f030r_a.png,340,1024,1451,1024,715,0,340,1024,cc2da4096b3ab98777d46be1ece18f1656608947aecee03401cdaef40ac23606
35,030,r,b,images_columns/f030r_b.png,436,1024,1451,1024,1015,0,436,1024,f5c3ad1e964f404ead36a75623cb82423ebc0a6dd669f07df1ac45a840dae067
36,030,v,a,images_columns/f030v_a.png,434,1024,1423,1024,0,0,434,1024,8e73ea04854ba7a170533187d1c01de3fc6a88653d5965a21647c785aea72eef
36,030,v,b,images_columns/f030v_b.png,327,1024,1423,1024,394,0,327,1024,2f6f555cb265823e0a4ce8ed2c9e0096292bab6ca928ce57d6abe702d35884b4
36,031,r,a,images_columns/f031r_a.png,304,1024,1423,1024,701,0,304,1024,fd23c8a707bc44894a5d130f7a0f6e160ff71f0a348f14117b4b7e3ea51dea85
36,031,r,b,images_columns/f031r_b.png,458,1024,1423,1024,965,0,458,1024,536f100fa40b61c8a2d30d19f655a9fd29f1f5d9a2d2be13804b81f47a7ff03a
37,031,v,a,images_columns/f031v_a.png,449,1024,1429,1024,0,0,449,1024,3024242b586a102c890b5e065d3309f4dbb7010f0cdd9f5dae6c29f99c093187
37,031,v,b,images_columns/f031v_b.png,315,1024,1429,1024,409,0,315,1024,5426b723d7f3ccd0fb164e2dafa65c97f408147356b7b7c271ac699d6616f270
