pdf_page,gallica_view,folio,side,column,image_file,width,height,source_width,source_height,crop_x,crop_y,crop_width,crop_height,sha256,material_state,observations,editorial_status
10,,5,r,a,images_columns/f005r_a.png,327,1024,1436,1024,708,0,327,1024,2c388d885ba145ee7de9d5cc6796c8d18e7388c56b0126b1f527e87c9ea6cda6,Foliotation 5 visible ; grande initiale en colonne b ; signes marginaux.,Les longues marques marginales sont conservées.,to_transcribe
10,,5,r,b,images_columns/f005r_b.png,441,1024,1436,1024,995,0,441,1024,3e5700648f83aa404e65482174a70523afb98b2207bdaffb24b297fde2ded2fa,Foliotation 5 visible ; grande initiale en colonne b ; signes marginaux.,Les longues marques marginales sont conservées.,to_transcribe
11,,5,v,full,images_full/f005v_full.png,738,1024,1456,1024,0,0,738,1024,05c03ac3f29f5b001a0c4ebd42af491755511736ef753fb39103b311fc702a5a,Zone d’encre effacée ou abrasion visible en colonne a ; note marginale.,Aucune restitution ou amélioration d’image appliquée.,context_only
11,,5,v,a,images_columns/f005v_a.png,438,1024,1456,1024,0,0,438,1024,61cde759c82d5c19aa31ad16e793df95df5954ccebf60eb04d62c1fadcbe6210,Zone d’encre effacée ou abrasion visible en colonne a ; note marginale.,Aucune restitution ou amélioration d’image appliquée.,to_transcribe
11,,5,v,b,images_columns/f005v_b.png,340,1024,1456,1024,398,0,340,1024,e01fc6372770aa79688445d3d89de77ab5409c1639efa00812da57eb92c98726,Zone d’encre effacée ou abrasion visible en colonne a ; note marginale.,Aucune restitution ou amélioration d’image appliquée.,to_transcribe
11,,6,r,full,images_full/f006r_full.png,738,1024,1456,1024,718,0,738,1024,c0d3e29b668b60a1b46cc26ef6033856a0102adf897fbdb68d71a885a46002e7,Foliotation 6 visible ; encre localement pâle ; signes de renvoi.,Mise en page à deux colonnes conservée.,context_only
11,,6,r,a,images_columns/f006r_a.png,313,1024,1456,1024,718,0,313,1024,d60161f95001c2cba78f0a53d0e5ad947d4061e813dc88169326e086992c69cc,Foliotation 6 visible ; encre localement pâle ; signes de renvoi.,Mise en page à deux colonnes conservée.,to_transcribe
11,,6,r,b,images_columns/f006r_b.png,465,1024,1456,1024,991,0,465,1024,7db574cf508edcfafd70918997cebe6057996bbf30659f4ef633aea45dcd5abe,Foliotation 6 visible ; encre localement pâle ; signes de renvoi.,Mise en page à deux colonnes conservée.,to_transcribe
12,,6,v,full,images_full/f006v_full.png,740,1024,1460,1024,0,0,740,1024,f02f176cafc379a4e605cba97845a7ecf2a797f88270c0ada625a07d28f98b73,Plis ou ondulations légers ; marques marginales.,Le folio 7r visible sur la moitié droite de l’ouverture n’est pas inclus dans le lot.,context_only
12,,6,v,a,images_columns/f006v_a.png,451,1024,1460,1024,0,0,451,1024,be9d40751d312722be3a3f980e65c63699a8176282d7326ad3cb2d52038e1220,Plis ou ondulations légers ; marques marginales.,Le folio 7r visible sur la moitié droite de l’ouverture n’est pas inclus dans le lot.,to_transcribe
12,,6,v,b,images_columns/f006v_b.png,329,1024,1460,1024,411,0,329,1024,a1851e17a5201b2fb75ffded305d631c7d189769a7cc312b298e8d9c3a8f18bb,Plis ou ondulations légers ; marques marginales.,Le folio 7r visible sur la moitié droite de l’ouverture n’est pas inclus dans le lot.,to_transcribe
